"CAS","Name","study_pk","route","study_duration","reliability","dummy","Jahr","adrenal.gland","Adrenal.gland_Weight.increased","bladder","body.weight","Body.weight.decreased","body.weight.gain.decreased","bone","bone.marrow","brain","ClinChem_Hepatotox","ClinChem_Nephrotox","CNS","female.reproductive.organ","haematology","haematopoiesis","heart","intestine","kidney","Kidney_degeneration","Kidney_Inflammation.Regeneration","Kidney_rat_specific_nephropathy","kidney_weight_increased","liver","Liver_Degeneration","Liver_hypertrophy","liver_inflammation..regeneration","Liver_weight_increased","male.accessory.gland","male.reproductive.organ","male.reproductive.organ_degeneration","RBC","RBC_Erythrocytes","RBC_haematocrit","RBC_Haemoglobin","spleen","thymus","thyroid.gland","WBC","WBC_leucocytes","WBC_lymphocytes"
1070786,"1,1,1,3-Tetrachloropropane",4631,"inhalation",90,"B",,,,,,,,,,,,,,1,,,,1,,,,,,,2,1,,2,2,,,,,,,,,,,,,
79414,"Methacrylic acid",882,"inhalation",90,"B",,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
29911271,"Dipropylene glycol (mono) propyl ether",1340,"drinking water",91,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
513531,"sec-Butyl mercaptan",4612,"inhalation",91,"B",,,,,,,1,,,,2,,,,,2,,2,,2,2,2,,2,,,,,2,,,,,,,,2,,,,,
108316,"Maleic anhydride",2900,"feed",90,"B",,,,,,,,,,,,,,,,,,,,2,1,2,,2,,,,,2,,,,,,,,,,,,,
127184,"Tetrachloroethene",1746,"drinking water",90,"B",,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,
110123,"Methyl Isoamyl Ketone",4630,"inhalation",96,"B",,,,,,,,,,,,,,,,,,,,2,,2,,2,2,2,2,,2,,,,,,,,,,,,,
1634044,"Methyl-tertiary-butyl ether",674,"gavage",90,"B",,,,,,,,,,,,,1,,,,,,,2,,,2,2,,,,,2,,,,,,,,,,,,,
1634044,"Methyl-tertiary-butyl ether",669,"inhalation",28,"B",,,,2,,,2,,,,,,,,,,,,,2,,,,2,,,,,2,,,,,,,,,,,,,
75003,"Chloroethane",3653,"inhalation",91,"B",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
306832,"1,1-Dichloro-2,2,2-trifluoroethane",2223,"inhalation",28,"B",,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,
135193,"2-Naphthol",1153,"gavage",28,"B",,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
100470,"Benzonitrile",1817,"gavage",91,"B",,,,,,,2,,,,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
156605,"1,2-Dichloroethylene",2118,"drinking water",90,"B",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
111900,"Diethylene glycol monoethyl ether",3789,"feed",90,"A",,,,,,,2,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,2,,2,2,,2,,,
29232937,"Pirimiphos-Methyl",4461,"feed",90,"B",,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431507,"2,3,4-Trichloro-1-butene",1307,"inhalation",91,"B",,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
7727540,"Ammonium peroxydisulfate",4611,"inhalation",91,"B",,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,
55312,"1-Epinephrine Hydrochloride",1732,"inhalation",91,"B",,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
98077,"(alpha),(alpha),(alpha)-Trichlorotoluene",417,"inhalation",28,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108316,"Maleic anhydride",2899,"inhalation",28,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,"Formaldehyde",250,"inhalation",91,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108247,"Acetic anhydride",307,"inhalation",90,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
50000,"Formaldehyde",4624,"inhalation",91,"B",,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333415,"Diazinon",4336,"inhalation",21,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96344,"Chloroacetic acid, methyl ester",90,"inhalation",28,"B",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101906,"1,3-Bis(2,3-epoxypropoxy)benzene",392,"gavage",90,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85687,"Butyl benzyl phthalate",3512,"inhalation",28,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100447,"(alpha)-Chlorotoluene",91,"inhalation",24,"B",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98873,"Benzal chloride",1178,"inhalation",32,"B",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140669,"4-(1,1,3,3-TETRAMETHYLBUTYL)-PHENOL",4501,"gavage",28,"B",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868859,"Dimethyl hydrogen phosphite",3559,"gavage",91,"B",,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300727,"Xylene sulphonate; sodium",3696,"feed",91,"B",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78422,"Tris(2-ethylhexyl)phosphate",3630,"gavage",97,"B",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121799,"Propyl gallate",932,"feed",91,"B",,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
3268493,"3-(Methylthio) propionaldehyde",1879,"gavage",28,"B",,,,,,,2,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,
123546,"Acetyl acetone",3876,"inhalation",98,"B",,,,,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
57556,"Propylene glycol",2177,"inhalation",90,"B",,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2
115195,"2-Methyl-3-butyn-2-ol",1140,"gavage",28,"B",,,,,,,2,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2
106887,"Epoxybutane",1782,"inhalation",91,"B",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108781,"Melamine",3670,"feed",91,"B",,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120832,"2,4-Dichlorophenol",2185,"feed",91,"B",,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108952,"Phenol",4333,"drinking water",91,"A",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423392,"Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-iodo-",4588,"inhalation",28,"B",,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
115106,"Dimethyl ether",208,"inhalation",91,"B",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2
67561,"Methanol",286,"inhalation",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
95487,"o-Cresol",596,"gavage",90,"A",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634044,"Methyl-tertiary-butyl ether",670,"inhalation",91,"A",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
123773,"1,1'-Azobisformamide",1071,"inhalation",91,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
109591,"Ethylene glycol (mono) isopropyl ether",1244,"inhalation",28,"B",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
109591,"Ethylene glycol (mono) isopropyl ether",1245,"inhalation",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,
2431507,"2,3,4-Trichloro-1-butene",1308,"inhalation",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
111693,"1,4-Dicyanobutane",1850,"inhalation",91,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
111488,"Thiodiglycol",2027,"gavage",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,
528449,"Trimellitic acid",4532,"gavage",28,"B",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
528449,"Trimellitic acid",4533,"inhalation",91,"B",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552307,"Trimellitic anhydride",4539,"feed",91,"B",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
